title,author_name,url,num_upvotes,page_number
Top competitors on private LB weirdly using same strategy.,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/528737,2,3
"Shouldn't everyone, every game have the same keyword to guess for all games?",CchristoC,https://www.kaggle.com/competitions/llm-20-questions/discussion/529159,3,3
Kaggle should reset the leaderboard multiple times,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/528789,8,3
Code to follow score evolution,gguillard,https://www.kaggle.com/competitions/llm-20-questions/discussion/528729,14,3
We might have a loophole for leaks,raconion,https://www.kaggle.com/competitions/llm-20-questions/discussion/528956,3,3
"Alts are good for semantic search, not for alphabetical",loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/528769,4,3
The frequency of matches is way too low,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/528516,10,3
A proposal for a more reliable LB,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/523317,22,3
Competition Update,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/523198,30,4
Evaluation idea for future generations,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/528782,1,4
Man this is so unlucky,Bhanu Prakash M,https://www.kaggle.com/competitions/llm-20-questions/discussion/528200,5,4
Why would my bot with skill 823 be paired with a 511 bot?,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/528779,-5,4
Award a prize or gold to the best non alpha agent,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/528957,-5,4
Is the bad answerer getting punished?,Puneet Khandelwal3476,https://www.kaggle.com/competitions/llm-20-questions/discussion/528378,-1,4
I choose to believe Llama and abandon all offline strategy except AlphaAgent,KKY,https://www.kaggle.com/competitions/llm-20-questions/discussion/527898,7,4
"As of Aug 9, ""locations"" still be used as Keywords",Neuron Engineer,https://www.kaggle.com/competitions/llm-20-questions/discussion/527088,5,4
Will late submissions be possible?,kyotoman,https://www.kaggle.com/competitions/llm-20-questions/discussion/527983,0,4
[LB 900+] Offline-Policy Questioner Agent,Kha Vo,https://www.kaggle.com/competitions/llm-20-questions/discussion/524284,19,4
Llama 3.1 Hack - Confirmed to Work in Kaggle Environment (Notebooks and Competition),Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/523619,41,4
End of competition submission bug (Error logs: Page not found),OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/527990,1,4
"Sharing the pre-print of the paper entitled ""Large Language Models(LLM) for Automating 20 Questions Game""",C R Suthikshn Kumar,https://www.kaggle.com/competitions/llm-20-questions/discussion/527955,2,4
Clarification on the Number of Test Data and Private Leaderboard Data,ISAKA Tsuyoshi,https://www.kaggle.com/competitions/llm-20-questions/discussion/527870,0,4
Anyone know why this happens?,Nicholas Broad,https://www.kaggle.com/competitions/llm-20-questions/discussion/527408,5,4
Live Private Leaderboard,Vitaly Kudelya,https://www.kaggle.com/competitions/llm-20-questions/discussion/528034,0,4
undo the last uploaded solution,d1v1s10n_by_zer0,https://www.kaggle.com/competitions/llm-20-questions/discussion/527797,0,4
Will the scores on the Private Leaderboard be visible from the beginning (Aug. 13th)?,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/526924,5,4
Private leaderboard scoring scheme different ?,kothiwsk28,https://www.kaggle.com/competitions/llm-20-questions/discussion/528121,0,4
"Will the agents used for the final be the last two agents submitted, or the highest scores before two?",HelloGPX,https://www.kaggle.com/competitions/llm-20-questions/discussion/527861,0,4
Deadline extended?!,Hadeka,https://www.kaggle.com/competitions/llm-20-questions/discussion/528116,0,5
"Leaderboard now reset, good luck to all",JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/528096,0,5
The Relationship between the Public LB and the Private LB,Muks,https://www.kaggle.com/competitions/llm-20-questions/discussion/528097,0,5
Question About Notebook Sharing During a Competition,hoon0303,https://www.kaggle.com/competitions/llm-20-questions/discussion/527441,0,5
how it works the SCORE?,francesco fiamingo,https://www.kaggle.com/competitions/llm-20-questions/discussion/527808,0,5
Keyword list for post-comp games,raconion,https://www.kaggle.com/competitions/llm-20-questions/discussion/527353,0,5
Evaluations Scoring Notes,Mahmoud Elshahed,https://www.kaggle.com/competitions/llm-20-questions/discussion/527555,0,5
[solved] Need help interpreting an error,Dawid Motyka,https://www.kaggle.com/competitions/llm-20-questions/discussion/527540,0,5
Useful dataset to be used with your agent,Araik Tamazian,https://www.kaggle.com/competitions/llm-20-questions/discussion/527121,4,5
How to timeout an LLM?,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/527344,-2,5
Keywords used for final evaluation,Mitsutani,https://www.kaggle.com/competitions/llm-20-questions/discussion/527420,1,5
"Alpha notebook, maybe the final one [LB 666+]",loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/522136,7,5
vllm server random start failure,padeof,https://www.kaggle.com/competitions/llm-20-questions/discussion/522800,0,5
Will non-LLM agents be disqualified in the private LB?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/527069,-12,5
New Models (7B-14B) Released!,Chris Deotte,https://www.kaggle.com/competitions/llm-20-questions/discussion/522888,21,5
Scores reset during set phase?,raconion,https://www.kaggle.com/competitions/llm-20-questions/discussion/527052,1,5
'IV' is the 'thing',Nakanishi,https://www.kaggle.com/competitions/llm-20-questions/discussion/527081,0,5
[Fixed] Submission error: Validation Episode failed. Kaggle Environmet cant access model weights,Ahmet Ekiz,https://www.kaggle.com/competitions/llm-20-questions/discussion/524622,0,5
Submission of llama 3.1,Yuang Wu,https://www.kaggle.com/competitions/llm-20-questions/discussion/524402,0,5
What is obs and cfg,Daniel Mittelman,https://www.kaggle.com/competitions/llm-20-questions/discussion/526919,0,5
New problem with error-based bots,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/524715,0,6
Code snippet to generate factually correct answers,Sadhaklal,https://www.kaggle.com/competitions/llm-20-questions/discussion/524258,9,6
Llama 3.1 with llama-cpp issue,Roberto Tessera,https://www.kaggle.com/competitions/llm-20-questions/discussion/526902,0,6
is the keywords.py in current dataset used in public leadboard?,Quickpanda,https://www.kaggle.com/competitions/llm-20-questions/discussion/524599,1,6
question on episodes replay,Quickpanda,https://www.kaggle.com/competitions/llm-20-questions/discussion/524731,0,6
Plagiarism or spam on the sidelines,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/524283,2,6
Has anyone successfully deployed llama3.1-70B or 405B in kaggle notebook,Yuang Wu,https://www.kaggle.com/competitions/llm-20-questions/discussion/524738,-1,6
Suggestions for future LLM 20 Questions competitions,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/526928,-6,6
are multiple keyword guesses legal?,A. John Callegari Jr.,https://www.kaggle.com/competitions/llm-20-questions/discussion/524348,0,6
Some competitors still have 3 agents active.,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/524068,1,6
Something is wrong with the submissions,Azat Akhtyamov,https://www.kaggle.com/competitions/llm-20-questions/discussion/524333,1,6
Open LLM Leaderboard - Huggingface,Ali Abdin,https://www.kaggle.com/competitions/llm-20-questions/discussion/524528,0,6
Is the ranking meaningful?,Songling,https://www.kaggle.com/competitions/llm-20-questions/discussion/524045,3,6
Absurd Replays [Upload pics of funny/absurd/meme replays here],Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/519297,9,6
"Need Help: Project Difficulty Too High, Seeking Tutorials or Easier Projects",QinLijie1,https://www.kaggle.com/competitions/llm-20-questions/discussion/524394,-2,6
Why is the answerer being penalised if the other team guesses the right word?,shiv_314,https://www.kaggle.com/competitions/llm-20-questions/discussion/523858,0,6
I am stuck with llama 3.1,VolodymyrBilyachat,https://www.kaggle.com/competitions/llm-20-questions/discussion/523523,1,6
LLM 20 Questions Competition: Relevant Research papers and Articles,C R Suthikshn Kumar,https://www.kaggle.com/competitions/llm-20-questions/discussion/522925,9,6
Final Evaluation - Question,vj4science,https://www.kaggle.com/competitions/llm-20-questions/discussion/522612,6,6
Weird Error,FullEmpty,https://www.kaggle.com/competitions/llm-20-questions/discussion/523352,1,6
An interesting discussion has been deleted?,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/522999,3,7
How different would be the evaluation in the private leaderboard vs evaluation in the public leaderboard?,shiv_314,https://www.kaggle.com/competitions/llm-20-questions/discussion/523392,0,7
Submission Failed: Previously Successful File Fails Sporadically,ISAKA Tsuyoshi,https://www.kaggle.com/competitions/llm-20-questions/discussion/520520,1,7
debug error [ERR],Paul Pawletta,https://www.kaggle.com/competitions/llm-20-questions/discussion/523147,0,7
Q. At what percentage does the current 1st place submission earn a bronze medal? A. 33%,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/520928,16,7
how to cancel an agent?,francesco fiamingo,https://www.kaggle.com/competitions/llm-20-questions/discussion/522583,3,7
How to install new transformers version for load llama3.1?,TuMinhDang,https://www.kaggle.com/competitions/llm-20-questions/discussion/522052,4,7
How to install new torch version in kaggle submit environment?,torino,https://www.kaggle.com/competitions/llm-20-questions/discussion/520207,6,7
Starter Notebook - Llama3-8B - [LB 0.750+] - [Rank 59th],Chris Deotte,https://www.kaggle.com/competitions/llm-20-questions/discussion/520429,60,7
"Is this competition a lottery, or is it not ?",gguillard,https://www.kaggle.com/competitions/llm-20-questions/discussion/521385,11,7
Optimal strategy (can LLMs beat binary search?),Khoi Nguyen,https://www.kaggle.com/competitions/llm-20-questions/discussion/503429,11,7
Submission Problem,Jonathan Harker,https://www.kaggle.com/competitions/llm-20-questions/discussion/521826,0,7
Keywords list is not fully correct and could use improvement,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/521802,1,7
Now I am confused. Pelican is the thing or a place?,VolodymyrBilyachat,https://www.kaggle.com/competitions/llm-20-questions/discussion/521791,0,7
How do you guys normally improve or edit the strategy of the model?,philipha2,https://www.kaggle.com/competitions/llm-20-questions/discussion/521506,1,7
Are new models useful?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/521945,0,7
New hidden keywords,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/515102,10,7
Update: Changes to keywords.py,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/512955,11,7
Llama3 inference is slow. Is there any way to improve it?,yamitomo,https://www.kaggle.com/competitions/llm-20-questions/discussion/521435,0,7
Another Starter Notebook - Qwen 2 7b Instruct,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/520650,12,7
Will all agents play with the same frequency on the hidden test set?,JK-Piece,https://www.kaggle.com/competitions/llm-20-questions/discussion/520569,3,8
How can I use the latest version of the transformers library in the production environment?,TomFuj,https://www.kaggle.com/competitions/llm-20-questions/discussion/521046,2,8
how to overcome a dumb answerer?,kaoutar,https://www.kaggle.com/competitions/llm-20-questions/discussion/519988,6,8
persona verify,Pradeep Pujari,https://www.kaggle.com/competitions/llm-20-questions/discussion/520912,2,8
Country Name Keywords Listed in Both Categories,zapfino,https://www.kaggle.com/competitions/llm-20-questions/discussion/521136,0,8
Evaluation with team reshuffle,Azat Akhtyamov,https://www.kaggle.com/competitions/llm-20-questions/discussion/519400,19,8
Encountering another problem when submitting,Yuang Wu,https://www.kaggle.com/competitions/llm-20-questions/discussion/520734,1,8
Theoretical Analysis of the 20 Questions Game,ISAKA Tsuyoshi,https://www.kaggle.com/competitions/llm-20-questions/discussion/520021,8,8
Unable to access the new keywords list.,G R Shanker Sai,https://www.kaggle.com/competitions/llm-20-questions/discussion/520468,1,8
Will the final keyword set contain any of the current keywords?,Jasper Butcher,https://www.kaggle.com/competitions/llm-20-questions/discussion/520014,3,8
Let's share LLM models for making questions and answering!,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/518728,4,8
"does ""things"" category contain brand names?",kaoutar,https://www.kaggle.com/competitions/llm-20-questions/discussion/520630,0,8
Who are asker and answerer?,torino,https://www.kaggle.com/competitions/llm-20-questions/discussion/519723,7,8
How to reduce file size,Yuang Wu,https://www.kaggle.com/competitions/llm-20-questions/discussion/520083,1,8
Are the locations still in the game?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/520427,0,8
Open source models from hugging face or Groq,G R Shanker Sai,https://www.kaggle.com/competitions/llm-20-questions/discussion/520259,0,8
Why is the oldest agent being deleted and not the agent with the worst results?,d1v1s10n_by_zer0,https://www.kaggle.com/competitions/llm-20-questions/discussion/519393,4,8
Notebook runs succeccfully but submission error,Yangtze Hao,https://www.kaggle.com/competitions/llm-20-questions/discussion/520246,1,8
Could the final list of keywords be established in a transparent way?,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/519083,-3,8
"What is ""jane""?",Naive Experimentalist,https://www.kaggle.com/competitions/llm-20-questions/discussion/519016,5,8
Scoring system seems to be subpar,kothiwsk28,https://www.kaggle.com/competitions/llm-20-questions/discussion/519783,2,9
Urgent: Unfair Memory Err Strategy,CchristoC,https://www.kaggle.com/competitions/llm-20-questions/discussion/518959,7,9
Dear Yes/No bot contributors...,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/518865,6,9
Disabled due to competitions active submission limit.,G R Shanker Sai,https://www.kaggle.com/competitions/llm-20-questions/discussion/519639,0,9
Why 2 vs 2,kosirowada,https://www.kaggle.com/competitions/llm-20-questions/discussion/519074,0,9
submission problem(Pls help me),philipha2,https://www.kaggle.com/competitions/llm-20-questions/discussion/516693,1,9
Scoring Questions,CchristoC,https://www.kaggle.com/competitions/llm-20-questions/discussion/517263,0,9
#Solved: Cannot submit: Your Notebook cannot use other competitions as a data source in this competition.,Azat Akhtyamov,https://www.kaggle.com/competitions/llm-20-questions/discussion/519116,0,9
Addressing Prompt Injection: How to ensure fair play in LLM 20 Questions?,デワンシュ,https://www.kaggle.com/competitions/llm-20-questions/discussion/518767,2,9
Why is the output shown like this?,Yuang Wu,https://www.kaggle.com/competitions/llm-20-questions/discussion/519220,0,9
Submit selection,yamitomo,https://www.kaggle.com/competitions/llm-20-questions/discussion/518902,0,9
Things category is clearly much harder than places,Jasper Butcher,https://www.kaggle.com/competitions/llm-20-questions/discussion/515751,10,9
What do you think about Gemma 2b-it?,yamitomo,https://www.kaggle.com/competitions/llm-20-questions/discussion/518756,1,9
Suggestions to avoid being stuck on 600's.,Marcel0.,https://www.kaggle.com/competitions/llm-20-questions/discussion/516861,8,9
Different Baselines,Sarvesh Gharat,https://www.kaggle.com/competitions/llm-20-questions/discussion/518882,0,9
Agent interface,alekh,https://www.kaggle.com/competitions/llm-20-questions/discussion/505965,1,9
Submit problem(please help me),tiny wood,https://www.kaggle.com/competitions/llm-20-questions/discussion/517130,1,9
How Can I Change an Activated Agent?,tiod0611,https://www.kaggle.com/competitions/llm-20-questions/discussion/518439,0,9
Gemma 2 - any success?,VassiliPh,https://www.kaggle.com/competitions/llm-20-questions/discussion/515337,2,9
How Are Keywords with Typographical Errors Handled?,tiod0611,https://www.kaggle.com/competitions/llm-20-questions/discussion/515238,5,9
"Identical Agents, but Different Scores! I propose these improvements. What do you think?",tiod0611,https://www.kaggle.com/competitions/llm-20-questions/discussion/518444,2,10
[SOLVED] Are answers case insensitive?,Araik Tamazian,https://www.kaggle.com/competitions/llm-20-questions/discussion/517205,0,10
How do I find the code for the agent testing?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/516883,0,10
List of questions seen on the LB that can be answered with a rule-based algorithm.,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/515801,7,10
Anyone had luck getting quantized models to load in the game environment?,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/516455,0,10
Where can I find the llm 20 Q metric?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/515581,0,10
Model Selection,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/515533,6,10
[SOLVED] Submisson error due to file size when using kaggle CLI in kaggle notebook,c-number,https://www.kaggle.com/competitions/llm-20-questions/discussion/515384,0,10
A few questions about the private lb keywords.,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/515770,3,10
Model randomly taking 30-100x the avg time to run,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/515511,0,10
Is their anyone in the top or the leaderboard that does not use the current keyword list?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/515771,0,10
Can we reset the entire leaderboard?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/514628,2,10
The game can be subverted with non-LLMs,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/511343,11,10
Request for organisers - Allowed guesses by keyword,Jasper Butcher,https://www.kaggle.com/competitions/llm-20-questions/discussion/515931,1,10
Will keywords ever have people or not?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/515713,0,10
How to use models from huggingface?,Parashuram Chavan,https://www.kaggle.com/competitions/llm-20-questions/discussion/513759,0,10
Clarification on LLM Usage and Constraints,Haolx0824,https://www.kaggle.com/competitions/llm-20-questions/discussion/514613,0,10
Question for Organizers: are current keywords a random subset of the future keyword set,VassiliPh,https://www.kaggle.com/competitions/llm-20-questions/discussion/514486,2,10
Questions about the data,sakura,https://www.kaggle.com/competitions/llm-20-questions/discussion/510494,1,10
How do you validate,Varun Jagannath,https://www.kaggle.com/competitions/llm-20-questions/discussion/515198,0,10
Help with loading model into kaggle environments,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/515127,0,11
Size of the LLM,G R Shanker Sai,https://www.kaggle.com/competitions/llm-20-questions/discussion/515054,0,11
Game environment still not stable? 🤔,Kuldeep Rathore,https://www.kaggle.com/competitions/llm-20-questions/discussion/514523,0,11
will agent have access to the question/answer/guess history in each session?,Haolx0824,https://www.kaggle.com/competitions/llm-20-questions/discussion/513394,1,11
"With keywords possible to be hardcoded, does the current leaderboard matter for final prize contending eval?",David,https://www.kaggle.com/competitions/llm-20-questions/discussion/512358,3,11
The best score of each team on LB is only the best of the most recent 3 submissions,Kha Vo,https://www.kaggle.com/competitions/llm-20-questions/discussion/510289,3,11
Question for Organizers: Clarification about keyword category definition,VassiliPh,https://www.kaggle.com/competitions/llm-20-questions/discussion/512719,7,11
Submission problem,Naive Experimentalist,https://www.kaggle.com/competitions/llm-20-questions/discussion/512186,2,11
When are keywords going to change?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/512777,5,11
Not able to submit,G R Shanker Sai,https://www.kaggle.com/competitions/llm-20-questions/discussion/511856,0,11
Can competition hosts make the keywords have more alts?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/511505,1,11
How to control keyword sampling for testing?,loh-maa,https://www.kaggle.com/competitions/llm-20-questions/discussion/511184,1,11
kaggle docker,A. John Callegari Jr.,https://www.kaggle.com/competitions/llm-20-questions/discussion/513110,0,11
Missing episodes/ errors across the board.,Dominique Nocito,https://www.kaggle.com/competitions/llm-20-questions/discussion/513081,0,11
Disabled submissions due to limit: anyone can help?,Octavio Grau,https://www.kaggle.com/competitions/llm-20-questions/discussion/512450,3,11
[SOLVED] Has anyone created a valid submission with llama-cpp-python?,Melinda,https://www.kaggle.com/competitions/llm-20-questions/discussion/511060,2,11
Upcoming changes to keywords.py,Bovard Doerschuk-Tiberi,https://www.kaggle.com/competitions/llm-20-questions/discussion/509035,21,11
Scope of keywords.py,Khoi Nguyen,https://www.kaggle.com/competitions/llm-20-questions/discussion/503162,20,11
i want help what i should be do ?,Michael Kamal 92,https://www.kaggle.com/competitions/llm-20-questions/discussion/511600,3,11
What is the role of llm_20_questions.py,Matthew S Farmer,https://www.kaggle.com/competitions/llm-20-questions/discussion/511731,0,11
Is there any way to locally simulate a 20 questions game to test new ideas?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/511768,0,12
"`keyword.py` only contains places, no people, no things",Benjamin Maréchal,https://www.kaggle.com/competitions/llm-20-questions/discussion/510621,1,12
[Solved] 75% valid submission!,Ali,https://www.kaggle.com/competitions/llm-20-questions/discussion/511249,0,12
Can I use Langgraph to build and submit agent,Bikash Patra,https://www.kaggle.com/competitions/llm-20-questions/discussion/511310,0,12
[Interesting findings] LLM are tired of playing 20 Questions😂,JavaZero,https://www.kaggle.com/competitions/llm-20-questions/discussion/509635,4,12
Some real concerns over the competition' scoring system (and proposals how to fix it),Kha Vo,https://www.kaggle.com/competitions/llm-20-questions/discussion/509839,8,12
Maximum context length error,Kha Vo,https://www.kaggle.com/competitions/llm-20-questions/discussion/509447,2,12
It`s amazing!!!,Viktoriia Marushchak,https://www.kaggle.com/competitions/llm-20-questions/discussion/511442,-6,12
[FIXED] - The Top 9 LB is the result Errors,Chris Deotte,https://www.kaggle.com/competitions/llm-20-questions/discussion/508415,19,12
Can models be too smart?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/509559,0,12
Help! Stuck in Kaggle's file import,Andres H. Zapke,https://www.kaggle.com/competitions/llm-20-questions/discussion/510701,1,12
Question about the game mechanism,GODDiao,https://www.kaggle.com/competitions/llm-20-questions/discussion/510376,0,12
What model(s) do you use?,OminousDude,https://www.kaggle.com/competitions/llm-20-questions/discussion/510636,0,12
How to add custom python packages in the submission?,sakura,https://www.kaggle.com/competitions/llm-20-questions/discussion/509933,3,12
Don't forget to accept gemma license,Mohamed MZAOUALI,https://www.kaggle.com/competitions/llm-20-questions/discussion/510342,2,12
How to submit use zip file?,sakura,https://www.kaggle.com/competitions/llm-20-questions/discussion/510427,0,12
Should questioners gain more points than answerer?,Kha Vo,https://www.kaggle.com/competitions/llm-20-questions/discussion/509741,3,12
Chris crossed 900 Mark 🤯,Kuldeep Rathore,https://www.kaggle.com/competitions/llm-20-questions/discussion/510155,0,12
About the key words involved in this competition,EntityY256,https://www.kaggle.com/competitions/llm-20-questions/discussion/510237,0,12
